judul_film,ringkasan_sinopsis,genre
Pizza Man,Olivia digoda bosnya tetapi dia menolak. Akibatnya dia dipecat. Dia pulang membawa minuman beralkohol dan memutar lagu sekeras mungkin untuk mengusir rasa sakitnya. Teman sekamarnya Merry dijodohkan ibunya dengan anak orang kaya yang ngondek (feminin). Sementara Nina taman lain lagi pulang menangis: pacarnya kembali ke istrinya. Nina beralih ke makanan untuk melupakannya. Olivia menyarankan cara lain untuk melampiaskan rasa frustrasi: mereka harus memilih seorang pria secara acak dan harus diperkosa. Masuklah manager restoran pizza yang sedang mengantar pizza pesanan ketiga cewek itu Adam ditarik secara paksa untuk ikut gabung dengan pesta mereka. Mereka tidak sengaja membunuh Adam.,Komedi
Pocong Keliling,Sebuah kompleks di tengah kampung mengalami kepanikan ketika muncul isyu bahwa ada Pocong yang muncul setiap malam mengetuk setiap pintu dari rumah ke rumah. Hal ini menimbulkan masalah pada berbagai pihak. Pak Jamal ([[Reza Keleng]) dan Istrinya Astrid (Indah Kalalo) marah karena rumah-rumah dalam kompleks tidak laku mereka jual. Sementara jadwal affair pak Jamal dan tetangganya Barbara (Catherine Wilson) pun jadi kacau balau. Ada pula Rommy dan Angel pasangan baru di kompleks yang terus menerus gagal menikmati malam pertama karena takut didatangi pocong. Selain itu sejumlah orang juga mencoba mengambil keuntungan dari heboh pocong keliling tersebut. Monique reporter TV dan kameramannya yang setia Akbar berjuang meliput berita dan mendapatkan gambar pocong secara live karena itu satu-satunya cara agar mereka berdua tidak dipecat. Terakhir muncul pasangan pencuri konyol Bombay dan Asbun yang mencoba dengan berbagai cara mengambil keuntungan dari situasi heboh tersebut.,Komedi
Pocong kesetanan!,"Bujang dan James, serta Mentil, menuju kota besar untuk menjemput kawan mereka, Santo. Mereka adalah teman seperguruan bela diri yang diasuh oleh ayah Santo. Sesampai di kota, mereka bertemu Santo dirumah kontrakannya bersama Chika dan Wendi. Santo senang bertemu dengan kawan-kawannya namun ia menolak pulang dengan alasan, ia akan pulang jika sudah kaya raya, tinggal dirumah milik sendiri. Ternyata Santo juga sedang dikutuk, tiap selepas magrib ia berubah menjadi banci yang bernama Santi. Teman-temannya merasa prihatin dengan kondisi Santo. Suatu ketika, Santo mendapat wangsit tentang makam keramat China yang menyimpan banyak harta karun. Saat mereka menemukan peti mati yang dimaksud dan berhasil mengambil harta dalam peti mati. Ketika mereka mengambilnya, makhluk gaib pun bermunculan. Santo dan teman-temannya pun di teror. Saat kejadian-kejadian aneh mengganggu ketenangan mereka, salah satu pocong mengaku bernama Pocong Ajun, mengingatkan mereka agar mengembalikan uang atau harta curian dari makam keramat China itu. Sang Vampire China marah lantaran hartanya dirampok oleh manusia, tetapi Santo cs tidak memperdulikannya. Persoalan bertambah saat Chika diculik oleh sekelompok penjahat yang juga menginginkan harta karun tersebut. James yang diam-diam suka pada Chika berniat menyelamatkan Chika. Bersama Santo, Bujang dan Mentil, mereka berniat mengembalikan harta karun tersebut ketempat semula. Mereka pun menuju sarang penjahat, tetapi mereka tidaklah sendirian. Mereka mendapatkan bantuan dari pihak yang tidak mereka duga sebelumnya",Komedi
Pocong ngesot,Asep (23) pemuda desa yang lugu namun over pede tertantang untuk mencari pekerjaan layak demi menikahi kekasih tercintanya Lilis (22). Sebab abahnya Lilis Abah Dading (50) tak pernah setuju putri semata wayangnya berhubungan dengan Asep lantaran Asep kerjanya cuman nggembalain kebo sama ngebajak sawah orang. Abah Dading pengennya Lilis menikah dengan anak kuliahan yang diyakini bermasa depan cerah. Demi membuktikan dirinya mampu menjadi orang sukses dan kaya raya Asep memutuskan pergi ke kota besar. Setiba di kota Asep tinggal di rumah kontrakan bersama Kubil Bonar dan Wanda. Asep melakukan gerak cepat dengan mengajukan lamaran kerja ke berbagai perusahaan berbekal ijazah SMA-nya. Bingung dan putus asa mulai melanda Asep. Apalagi Asep mendapat kabar bahwa abahnya Lilis sudah menemukan cowok kaya raya buat pendamping hidupnya. Lilis mendesak Asep cepat mendapatkan pekerjaan yang layak. Karena Lilis telah buat kesepakatan dengan abah bahwa jika dalam jangka 3 bulan Asep belum juga mendapat pekerjaan Lilis bersedia melepaskan Asep. Bonar dan Kubil menyuruh Asep konsultasi sama dukun. Dukun pun menyarankan Asep nyepi di sebuah pohon trembesi (pohon beringin) yang diyakini keramat. Dukun juga memberikan catatan mantra yang musti dibaca selama nyepi di pohon trembesi keramat itu. Dukun juga mengingatkan agar sesajen yang dibawa musti lengkap tanpa kurang satu apapun. Setelah melakukan nyepi di pohon trembesi keramat kejadian-kejadian aneh dan konyol pun mengganggu Asep. Entah mengapa Asep kerap disantroni penampakkan berupa pocong ngesot. Dan bukan cuman Asep Kubil Bonar Wanda Devina dan Pretty juga diganggu penampakkan pocong ngesot. Kekacauan pun tak terelakkan. Pekerjaan yang diharapkan Asep segera diperolehnya setelah menjalani tapa sepi di pohon trembesi juga tak kunjung ada. Malah Asep kini ketiban sial melulu. Lalu tiap dateng mau ngelamar ke perusahaan Asep diusir tanpa sebab jelas. Asep nyesel nyepi di pohon trembesi keramat. Seandainya Asep berpikir dulu sebelum bertindak. Yah seandainya. Wajah Lilis pun seakan memudar dari bayangannya. Semua karena Asep takut kehilangan cintanya Lilis. Berniat mendapatkan nasib baik malah musibah yang datang. Asep dan teman-temannya pun memikirkan cara agar terbebas dari gangguan pocong ngesot tuyul dan wewe gombel. Berhasilkah mereka?,Komedi
Pokun Roxy,Talib sedang berada di bawah pohon rindang saat ia merasa ada yang mengenai pipinya ternyata kain pocong dan kuntilanak diatas pohon. Talib ketakutan dan menjerit mengundang banyak warga berdatangan Tiga anak muda Acong Bedul dan Jupe mengatur rencana untuk mencari untung dari kasus ini. Mereka menyebarkan kabar burung seolah-olah bisa memotret Pokun Roxydengan handphone. Padahal Bedul dan Jupe yang menyamar Berita munculnya Pokun Roxy di Roxy segera tersiar dan menjadi buah bibir. Pemimpin Redaksi Tabloid Rahasia Pak Edo Polo menugasi dua wartawan muda wartawati PINA dan wartawan foto Bondy untuk melacak serta mendapatkan foto-foto Pokun Roxy. Maka Pina-Bondy menelusuri kawasan kampung Roxy. Mereka bertemu Komandan Hansip Bolot. Lewat lika-liku kesalah-pahaman akhirnya Pina-Bondy dibantu Dukun berhasil mendapatkan potret yang samar-samar. Dukun juga mengerok alis si Bedul lalu meludahi matanya supaya bisa melihat. Malamnya saat berjalan pulang sendirian si Bedul pun betul-betul melihat Pokun Roxy,Komedi
Posesif,Lala adalah atlet selam platform di tahun terakhir sekolah menengahnya ketika dia bertemu Yudhi seorang murid pindahan. Bunga roman awal bermekaran tetapi sesuatu tentang Yudhis terbentang satu demi satu.,Komedi
Posesif (II),Film ini bercerita tentang kisah dari dua pelajar SMA yang bernama Lala (Putri Marino) dan Yudhis (Adipati Dolken). Lala juga merupakan seorang atlet loncat indah dan kehidupannya sama seperti gerakan loncat indah di mana hidupnya bisa juga dibilang jungkir balik. Penyebab dari gambaran hidupnya yang jungkir balik ini bukan karena gerakannya di dalam kolam renang ataupun tentang keluarganya namun karena cinta pertamanya terhadapa Yudhis. Karena Yudhis juga termasuk pelajar baru di sekolahnya Lala dan telah menjebak hati Lala. Pada tahun terakhir di SMA Lala harus ditarik keluar dari kegiatan rutinitas lamanya di mana hidupnya tidak terus melihat birunya air kolam renang ataupun dinding kusam sekolah. Karena Lala percaya bahwa Yudhis selalu dan akan sigap untuk menghadirkan pelangi asalkan Lala berjanji untuk bersama selamanya. Akan tetapi pelan-pelan Lala dan Yudhis harus menerima dan menghadapi kisah dari mereka yang masuk dalam kegelapan juga awalnya cinta Yudhis yang tampak sederhana dan melindungi namun berjalan menjadi rumit dan berbahaya. Janji yang telah mereka ucapkan untuk setia hingga selamanya menjadi jebakan.,Komedi
Promoter in Paradise,Tuti lulusan perguruan tinggi baru-baru ini dengan mimpi besar sedang berjuang untuk mendapatkan istirahat di pasar kerja anjing-makan-anjing - terutama dengan tekanan tambahan dari seorang Ibu yang ingin melihat dia menikah. Setelah tersandung setelah pesta besar Tuti secara tidak sengaja mendaratkan peran dengan Event Manager premier Bali Tina. Sepertinya mimpi Tuti mungkin dalam jangkauan tetapi Tina dalam kesulitan PA Maya nya telah membelot ke kubu oposisi. Dengan acara besar hanya 2 hari lagi terserah Tuti untuk memastikan makanan dan anggur tetap pada menu musik terus bermain dan ego dibelai. Pahlawan muda kami dari burb Bali melawan kekuatan yang kuat bertekad untuk melihat dia gagal. Tuti tidak hanya harus bertahan selama 48 jam ke depan tetapi juga melakukan pesta tahun ini agar impiannya tetap hidup.,Komedi
Quickie Express,Jojo berjuang untuk ketenaran dan uang sampai ia ditawari sebagai gigolo untuk Quickie express Company.,Komedi
Radio Galau FM,Selama tiga tahun Bara tidak punya pacar. Selama tiga tahun terakhir Bara menghabiskan malam minggu dikamar pacaran dengan laptop dan mengejar impiannya menjadi penulis. Selama tiga tahun hanya ada satu hal yang konstan dalam hidup Bara : GALAU. Kegalauan Bara berakhir ketika hadir sosok Velin adik kelas lucu yang kemudian menjadi pacarnya. Bersama Velin Bara memasuki dunia baru yang penuh warna. Bersama Velin hidup Bara menjadi lebih indah dan menyenangkan. Tapi masa masa indah bersama Velin tidak bertahan lama. Velin yang manis perlahan bertransformasi menjadi manja dan menyebalkan. Velin berubah Bara mulai gerah. Bara berusaha mencari solusi tetapi sikap dramatis Velin kian menjadi. Velin bahkan sampai mencoba bunuh diri dan hal ini membuat Bara galau lagi. Ditengah kegalauan Bara hadir sosok Diandra kakak kelas yang cantik seksi dan dewasa. Diandra membuat Bara nyaman. Diandra membuat Bara senang. Diandra membuat Bara melupakan Velin. Sialnya ternyata Diandra lebih dramatis dari Velin dan hal ini tersebut membuat Bara semakin galau. Awalnya Bara berpikir kehadiran perempuan akan membuat dirinya tidak galau lagi. Tapi nyatanya Velin dan Diandra malah membuat Bara galau tingkat nasional. Bagaimana cara Bara menghadapi Velin dan Diandra? Apa yang Bara lakukan untuk mengusir kegalauannya? Jawaban bisa kamu dapatkan di Radio Galau FM.,Komedi
Rahasia Bintang,Ada keysha dan reno. Dua anak nakal yang bersahabat. Mereka selalu bersama. senang berkeliling perkebunan dan paling suka kalau malam duduk ditaman belakang sambil memandang bintang bintang dilangit.,Komedi
Ratu Kostmopolitan,Tiga cewek cantik dan bokek mau tidak mau harus jumpalitan putar otak dan baca mantra buat mengusir preman yang mau menggusur rumah kost mereka. Sambil rebutan cowok pula!,Komedi
Red CobeX,Red cobex mengisahkan tentang perkumpulan ibu-ibu kuat sekaligus unik yang selalu membela kebenaran. Perkumpulan tersebut dinamai dengan “red cobex”. Hal tersebut merunut dengan ciri khas mereka yang selalu membawa cobek berwarna merah tiap kali beraksi. Red cobex terdiri dari ketua mereka yaitu mama ana (tika panggabean) tante lisa (indy barends) yu halimah (aida nurmala) mbok bariah (sarah sechan) dan cik mey-mey (cut mini). Mereka semua juga terdiri dari suku yang berbeda-beda. Ada yang dari ambon madura tegal manado dan keturunan cina. Mereka terkenal sebagai kumpulan ibu-ibu jago bela diri yang selalu menumpas kejahatan. Mulai dari preman pasar penjual vcd porno tukang palak dan masih banyak lagi. Namun ternyata tidak semua orang menganggap positif dari kegiatan red cobex. Polisi kemudian menangkap geng red cobex karena dianggap sebagai pembuat keonaran. Para anggota red cobex yang selalu menjunjung kebenaran tidak ingin melakukan perlawanan ketika polisi menangkap mereka. Ternyata ketika seluruh anggota red cobex dimasukan ke penjaran ternyata anak dari mama ana yaitu yosie (lukman sardi) baru saja keluar dari penjara. Setelah keluar dari penjara yosie bertekad untuk tidak lagi menjadi orang jahat dan memiliki keinginan besar untuk menjadi orang baik. Yosie yang tidak memiliki tempat untuk dituju karena ibunya masuk ke penjara sedangkan ia masih bermusuhan dengan ayahnya akhirnya memutuskan untuk tinggal di rumah sahabatnya yaitu ramli (irfan hakim). Namun kondisi ramli sendiri tidak jauh lebih baik. Ia tinggal di rumah kecil bersama istrinya yaitu ipeh (shanty). Ipeh langsung tidak menyukai kehadiran yosie di rumah mereka. Untuk itulah ipeh mengancam ramli bahwa dia tidak akan diberi “jatah” sebelum yosie keluar dari rumah mereka. Tentu saja hal tersebut membuat ramli berada dalam dilema. Selain itu yosie tengah jatuh hati kepada seorang wanita yaitu astuti (revalina s. Temat). Namun latar belakang serta masa lalu yopie yang gelap membuat hubungan mereka menemukan banyak halangan. Hingga kemudian gen red cobex yang sudah keluar dari penjara menjadi pemecah segala masalah.,Komedi
Rocker Balik Kampung,Joe Santani seorang rocker yang karir bermusiknya hampir habis dan mulai kehilangan kreatifitas serta arah hidup. Suatu hari seseorang dari masa lalunya Ujang datang ke rumahnya untuk menyampaikan bahwa Abah Rahman ketua kampung Sinar Asih (kampung halaman Joe) memintanya untuk pulang. Ia berharap perjalanannya ini menemukan kembali inspirasinya dan tujuan hidupnya. Di kampung Sinar Asih ia bertemu kembali dengan orang-orang dari masa lalunya termasuk Andini wanita yang punya banyak kenangan dengannya. Masalah semakin pelik ketika kampung Sinar Asih mengalami krisis minyak tanah dan kondisi kesehatan Abah Rahman tidak memungkinkan untuk memimpin warga desa melewati krisis tersebut.,Komedi
Rumah ketujuh,Lintang (Dewi Rezer) dan Cakra (Indra Birowo) yang bersahabat sejak kecil sama-sama mengusahakan sebuah persewaan video dan bercita-cita membuat gedung sinema alternatif. Lintang sangat percaya akan astrologi dan berdasarkan itu mencari jodohnya seorang Taurus sebelum usia 25 tahun. Cakra percaya akan mimpi dan berulang kali melihat gadis yang sama dalam mimpinya. Sosoknya tidak begitu jelas karena terlihat dalam sebuah keramaian pesta dari belakang. Lintang merasa menemukan jodoh pada diri Arman (M. Gary Iskak) dan Cakra berpendapat bahwa Alina (Andhara Early) juga calon jodohnya. Ternyata pendapat-pendapat yang didasarkan pada astrologi dan mimpi itu tidak menjadi kenyataan. Lintang dan Cakra menyadari bahwa mereka berdua sendiri yang berjodoh.,Komedi
Satu kecupan,Satu kecupan bercerita tentang kecupan dari sang pacar mungkin saja menjadi ciuman terindah saat berpacaran. Namun tidak berarti lagi bagi gadis bernama desi (masayu anastasia). Selama dia berpacaran dengan ardi (hengki kurniawan) hampir selama 2 tahun tak pernah sekalipun merasakan ciuman satu sama lain. Begitupun sosok ardi bisa dibilang punya karakter sangat kalem sopan bahkan meski hubunganya bersama desi sudah dimulai sejak sekolah tepatnya di bangku smu ardi selalu berusaha menjauhi segala kontak fisik walau berpacaran sejak lama. Karena bagi ardi ciuman itu sejuta rasanya sehingga benar – benar dia simpan untuk masa depan kelak. Berbeda halnya dengan desi gadis ini sudah ingin sekali merasakan nikmatnya berciuman bersama sang kekasih. Tak heran jika profesinya sebagai penyiar radio terkadang mengundang beberapa pertanyaan sampai mengaitkan bagaimana rasanya ciuman pertama kali. Lantas desi pun mulai terdesak hingga menjawab apa yang telah diketahui selama ini walau dalam hatinya ada perasaan berdusta. Tak sampai disitu saja tindakanya seakan belum puas dia menerima banyak tawaran untuk acara talkshow di salah satu chanel stasiun televise. Bahkan si ardi pun dipaksa agar mau ikut mendampingi sekaligus mengikuti acara yang ditayangkan secara langsung itu. Langkah inilah yang kemudian membuat sang pacar nampak marah besar terhadap desi. Akibatnya hubungan mereka juga ikut merenggang seiring berjalnya waktu. Walau demikian desi masih tetap saja berusaha untuk mendapatkan ciuman manis dari ardi. Temanya gladys (ratu felisha) indra (tommy kurniawan) dan amel (imelda therine) lantas mendukung keinginan desi. Bujukan mereka kian membuat desi untuk mencoba kembali kontak fisik dengan ardi saat pagelaran pesta pantai. Ternyata kenyataan malah berbeda saat pesta chill out beach nite berlangsung hingga memperkeruh hubungan keduanya. Tak habis akal desi pun kembali dibujuk untuk melakukan apa saja demi mendapatkan ciuman dari ardi. Sampai akhirnya keadaaan sudah mulai kritis. Mungkinkah sebuah kecupan akan mampu mengembalikan keretakan hubungan ardi dan desi atau membuat keduanya berpisah selamanya?,Komedi
Satu Rumpun,Bekti dari Indonesia dan Samseng dari Malaysia datang ke AS untuk bekerja. Mereka ditipu oleh agen tenaga kerja dan dibiarkan terlantar di jalan raya. Keduanya harus menemukan cara untuk bertahan hidup dengan jumlah uang tunai yang sangat terbatas.,Komedi
Selendang rocker,Selendang rocker adalah sebuah film yang mengisahkan tentang sebuah band rock yang harus menyanyikan lagu beraliran melayu. Adalah the pangky yang beranggotakan ipank (candil serius) vokalis yang sering marah eric (edric tjandra) pemain gitar yang sering ngambek ozi (ramzi) pemain drum yang sering telat dan joy (saykoji) keyboardist sekaligus rapper yang suka kentut. The pangky yang dulunya berjaya kini tidak lagi laku di pasaran. Hal itu membuat produser mereka berniat membuat album kolaborasi the pangky dengan munanada seorang penyanyi melayu yang sedang turun pamor. Diharapkan kolaborasi keduanya dapat mengembalikan kejayaan mereka. Awalnya ipank menolak karena ia sangat anti melayu. Namun akhirnya ipank mengikuti keinginan sang produser. Tidak mudah untuk berkolaborasi dengan munanada yang sangat agamis. The pangky diminta untuk mengikuti aturannya. Mulai dari dirukiah diceramahi hingga tattoo mereka harus disetrika. Meski telah mencoba bersabar akhirnya the pangky kesal juga sehingga mereka sering terlibat perkelahian saat sedang latihan. Puncaknya munanada berkata bahwa ipank telah menyakiti hatinya dan hati leluhur melayu. Karena itu ipank harus dikutuk. Sejak itu ipank selalu mendengar lagu melayu milik munanada baik itu saat sedang berhenti di lampu merah maupun saat sedang ditilang oleh polisi yang sedang menyanyikan lagu melayu. Suatu hari tanpa sengaja ipank bertemu dengan gabby (sarah jane) cewek bertato dan bertampang sangar. Tanpa diketahui ipank sebenarnya gabby adalah putri munanada. Saat ipank berkunjung ke rumah gabby munanada melihat ipank. Tentu saja munanada tidak merestui hubungan ipank dan putrinya kecuali ipank mampu membuat band-nya lebih terkenal dari munanada. Karena tidak percaya diri ipank memilih mundur dari the pangky dan berlatih lagu melayu seorang diri. Untungnya tali persahabatan the pangky terjalin erat. Atas kesepakatan bersama mereka pun mengubah aliran musik mereka yang tadinya rock menjadi metal alias melayu total. Tidak hanya itu mereka juga menambahkan unsur rap di dalam musik melayu mereka. Tidak disangka musik melayu yang dikombinasikan dengan unsur rap ternyata disukai penggemarnya. Bahkan penggemar mereka menjadi bertambah. Dengan bertabur bintang-bintang terkenal dan cerita yang menarik film selendang rocker menjadi film komedi yang tidak biasa.,Komedi
Senggol bacok,Senggol bacok mengisahkan tentang galang (fathir muchtar) yang memiliki masalah dalam pengendalian emosinya. Ia selalu beranggapan bahwa segala sesuatunya dapat diselesaikan dengan nyali dan keberanian. Hingga kemudian galang memutuskan untuk pergi ke jakarta dan menetap disana. Hal tersebut dilakukan galang untuk menata kembali hidupnya yang kacau setelah ditinggal menikah oleh tunangannya. Di jakarta itulah galang bertemu dengan disko (ajie idol). Disko adalah seorang pengamen jalanan yang memiliki wajah pas-pasan namun memiliki suara emas. Disko memiliki bakat yang luar biasa dalam bermusik. Mereka berdua langsung menjadi teman yang akrab. Disko seakan mampu menjadi sosok yang tepat untuk mengatur emosi galang yang biasanya meledak-ledak. Di sana pulalah gilang kembali jatuh hati dengan seorang perempuan. Perempuan tersebut bernama laras (kinaryosih). Kecantikan dan kebaikan hati milik laras mampu membuat gilang melupakan mantan tunangan yang telah meninggalkannya. Namun galang yang memiliki sifat temprament membuatnya sulit untuk bisa mendekati laras. Keadaan semakin diperburuk ketika galang tanpa sengaja menghajar ayah laras yang awalnya ia duga sebagai seorang preman. Bahkan akibat dihajar oleh galang tersebut ayah laras terpaksa masuk ke rumah sakit dan dirawat disana. Galang yang merasa bersalah kemudian mendatangi rumah sakit tersebut untuk memberikan bantuan. Namun ternyata galang semakin memperburuk keadaan ketika tanpa sengaja ia yang hendak berbuat baik ingin memberikan selai kacang malah membuat kondisi ayah laras semakin memburuk. Hal itu membuat hubungan laras dan galang semakin merenggang. Saat kondisi itu kemudian datanglah doni (ringgo agus rahman) penghuni baru di lingkungan tersebut. Ternyata doni juga menyimpan hati terhadap laras. Doni kemudian melakukan berbagai cara untuk merebut perhatian laras termasuk dengan cara yang paling licik sekalipun. Hal ini membuat doni dan gilang resmi saling bersaing untuk bisa merebutkan perhatian laras. Namun doni ternyata lebih unggul karena ia berhasil merebut hati ayah laras yang sudah enggan terhadap gilang. Gilang merasa semua usahanya bakalan sia-sia karena ayah laras sudah terkadung benci terhadapnya. Hal tersebutlah malah mengubah sifat gilang yang tadinya emosional menjadi lembut dan tulus. Hingga kemudian terungkaplah sebuah rahasia tentang doni.,Komedi
Setannya kok beneran?,Dengan karir mereka bertindak sebagai paranormal hantu-penghilang dalam reality show palsu akan segera berakhir tiga pecundang palsu menerima undangan untuk ramah bertemu dan menyapa di sebuah desa di luar kota. Setidaknya rasanya menjadi selebritis sebelum karir televisinya berakhir. Mereka tidak menyadari bahwa penduduk desa tidak mengundang mereka untuk bertemu penggemar bukan untuk menyingkirkan hantu marah yang meneror desa. Terjebak dengan tempat lain untuk pergi para pahlawan palsu kita yang takut dipaksa untuk berurusan dengan hantu yang nyata atau semua orang akan tahu bahwa mereka hanyalah penipu.,Komedi
Setannya kok masih ada,Dedi dan Beno adalah dua sarjana pengangguran. Kebetulan ada lowongan pekerjaan sebagai penjaga kamar mayat. Dedi bisa menerima pekerjaan tersebut tetapi tidak bagi Beno. Ia tipe cowok penakut. Dari kamar mayat itulah mereka berkenalan dengan MAYA seorang model. Maya menerima warisan dari kakeknya yang baru saja meninggal secara misterius. Sang kakek mewariskan rumah berikut perkebunan yang sangat luas. Maya bersama Niken dan Ranti ingin melihat warisan tersebut. Namun sejak kehadiran mereka di kompleks perkebunan tersebut mereka sudah menemui berbagai macam keanehan. Untuk saat ini rumah tersebut dijaga Mang Darta dan seorang paman Maya. Sang Paman menyarankan agar seluruh warisan dijual saja dari ada Maya kerepotan merawat dan menjaga perkebunan. Tapi Maya berkeras tidak menjual warisan sang kakek. Ia sewa Dedi dan Beno untuk menjaga rumah warisan mengingat dua sekawan ini punya keberanian menghadapi makhluk-makhluk gaib.,Komedi
Setelah 15 tahun,15 Tahun setelah gerakan reformasi yang menggulingkan Soeharto pada tahun 1998. Apakah Indonesia sekarang lebih baik dibandingkan dengan rezim baru Soeharto?,Komedi
Si Doel anak modern,Ketika lulus sekolah Si Doel (Benyamin S.) hanya bisa menganggur di kampung. Usaha perjodohan yang dilakukan ibunyapun selalu ditolak. Ia sangat mencintai Nonon alias Kristin (Christine Hakim) teman sekolahnya di kota yang sudah menjadi peragawati. Pada akhirnya Doel bisa merayu ibunya agar menjual tanah untuk usaha di kota. Pertama-tama ia ikut usaha jual beli mobil bersama kawannya Sapi'i (Farouk Afero). Kemudian datang kawan lama lain Sinyo (Wahab Abdi) yang punya banyak istri dan juga sedang mendapatkan objek besar yaitu jual beli tanah akan tetapi ingin menggunakan uang si Doel. Akhirnya oleh Doel usaha mereka ini diberi syarat yaitu dengan mempertemukan Doel dengan Kristin. Mereka tak menyangka Doel bersungguh-sungguh karena pada awalnya mereka hanya mempermainkan Doel dengan mengajarinya menjadi modern dan Doel hanya menurut saja. Ketika melihat pacar Kristin Achmad (Ahmad Albar) yang berambut kribo Doel pun turut ikutan. Akan tetapi Kristin lebih suka dengan Doel yang lucu dan selalu bisa menghiburnya saat dia kesal dengan Achmad pemusik rock yang playboy hingga hubungan mereka berdua selalu putus-sambung. Saat putus Doel diajak Kristin ke Bandung. Karena hal ini Doel merasa mendapat angin. Sapii dan Sinyo yang harus membayar uang muka pembelian tanah jadi bingung akibat ulah si Doel. Achmad juga bingung karena Kristin bersama si Doel. Ia dan anak buahnya lalu berangkat ke Bandung begitu juga dengan Sapii dan Sinyo. Saat di bandung Doel dikerubuti oleh anak buah Achmad. Kristin merelai dan akhirnya kembali ke Achmad yang mengajaknya menikah. Di lain pihak Doel diseret Sapii-Sinyo untuk menyelesaikan pembayaran tanah. Ternyata Achmad digosipkan majalah akan kawin dengan gadis lain. Kristin sangat marah akan hal tersebut. Doel yang dengan usaha bersama kedua temannya merasa sudah merasa sukses mendatangi rumah Kristin dengan arak-arakan. Kristin kaget melihat kenaifan Doel yang menganggap dirinya hanya silau oleh harta. Doel juga kaget karena ternyata ia salah menduga apa yang diinginkan oleh kristin dan maulu karenanya. Akhirnya Doel melarikan diri dengan mengendarai mobil samapai akhirnya mobil itu masuk ke jurang dan Doel dirawat di rumah sakit. Kepada ibunya Doel mengatakan bahwa ia kapok menjadi modern tetapi kata-kata itu ditarik kembali saat melihat Kristin datang. Sjuman memang berniat untuk mengejek sikap modern yang dilukiskannya dengan negatif: merebut istri orang memperisteri gadis kawan anaknya dan sebagainya. Bahkan judul si Doel anak modern juga sempat dicoret dan diganti Si Doel sok modern.,Komedi
Si jago merah,"Gito Prawoto (Desta Club 80’s), Dede Rifai (Ringgo Agus Rahman), Kuncoro Prasetyo (Ytonk Club 80’s), dan Rojak Panggabean (Judika) terancam D.O. gara-gara menunggak uang kuliah selama 4 semester berturut-turut, orang tua mereka ternyata sudah tidak bisa lagi membiayai kuliah. Pihak Kampus memberikan kelonggaran agar mereka bisa tetap kuliah, tetapi tetap harus membayar minimal satu semester dalam waktu beberapa hari.Masing-masing mencari uang. Ternyata mereka tetap butuh biaya untuk hidup sehari-hari, apalagi sebagian dari mereka sebelumnya bergaya hidup ibu kota.Kuncoro memberikan solusi agar biaya operasional terjangkau dan mengajak mereka mencari rumah kontrakan dekat kampus, dan menjalani pola hidup sederhana. Solusi lainnya adalah kerja magang, tetapi magang itu membuat mereka kelelahan. Jadwal kuliah menjadi berantakan. Gito mendapatkan ide untuk mencari part time job yang tidak melelahkan dan menyita banyak waktu yaitu sebagai pemadam kebakaran.Singkat cerita setelah ikut pelatihan, mereka diterima kerja magang di Pemadam Kebakaran, sebagai Pasukan Cadangan dengan perlengkapan seadanya dan diberi tugas untuk merawat mobil pemadam kebakaran yang sudah tua, yang dikenal dengan sebutan Si Jago Merah.Mahasiswa-mahasiswa “tidak-beruntung” ini mendapatkan jatidirinya lewat sebuah tindakan heroik tanpa pamrih yang membuat mereka mendapat penghargaan dari Wali kota (Rano Karno).",Komedi
Si Kabayan dan anak jin,Si Kabayan (Didi Petet) jadi santri di sebuah pesantren untuk bisa mendekati Nyi Iteung (Nike Ardilla) anak tunggal pimpinan atau Ajengan pesantren. Dalam usahanya ini ia dibantu anak jin yang semula mengganggunya tapi lalu bersahabat bahkan bisa menampakkan diri (Sena A. Utoyo). Suatu hari datang teman Ajengan pak Cokro (Moortri Purnomo) untuk membalas budi yang pernah diterimanya. Iteung diminta disekolahkan di IAIN Yogya. Iteung pergi Kabayan kesepian. Di Yogya Iteung terpaksa bergaul akrab dengan Jerry (Regi Regustaninda) keponakan bu Cokro (Yetti Syarifah). Mereka diharap berjodoh. Anak Cokro sendiri Budiman (Jef Elva Koswara) yang belajar juga di pesantren memberi tahu Kabayan bahwa Jerry itu pecandu narkotik. Maka berangkatlah Kabayan ke Yogya. Iteung ternyata sudah dijual ke sindikat narkotik. Dengan bantuan anak jin (yang sempat pacaran dengan anak jin kraton Yogya) Kabayan berhasil menyelamatkan Iteung.,Komedi
